idx,label,x,y,timestamp
0,x,71,141,125174797
1,x,73,143,125174845
2,x,75,142,125174925
3,x,77,144,125174950
4,x,79,143,125174966
5,x,81,144,125174979
6,x,84,146,125174991
7,x,86,146,125174999
8,x,88,148,125175011
9,x,90,149,125175019
10,x,93,151,125175027
11,x,95,152,125175035
12,x,97,153,125175043
13,x,100,155,125175051
14,x,102,157,125175060
15,x,104,159,125175069
16,x,105,161,125175078
17,x,107,162,125175086
18,x,110,167,125175095
19,x,112,169,125175104
20,x,115,173,125175114
21,x,117,175,125175123
22,x,119,177,125175133
23,x,121,180,125175143
24,x,124,186,125175153
25,x,126,189,125175163
26,x,128,191,125175174
27,x,131,196,125175185
28,x,132,199,125175196
29,x,134,202,125175197
30,x,136,205,125175209
31,x,137,208,125175221
32,x,139,210,125175222
33,x,140,214,125175235
34,x,141,216,125175248
35,x,144,219,125175249
36,x,145,222,125175264
37,x,149,227,125175278
38,x,150,230,125175292
39,x,151,232,125175306
40,x,153,234,125175319
41,x,155,236,125175333
42,x,157,235,125175385
43,x,157,233,125175401
44,x,157,231,125175415
45,x,158,225,125175429
46,x,158,222,125175444
47,x,158,217,125175459
48,x,158,211,125175474
49,x,158,204,125175490
50,x,158,196,125175506
51,x,158,186,125175522
52,x,158,178,125175538
53,x,157,170,125175554
54,x,156,163,125175570
55,x,156,158,125175587
56,x,155,152,125175604
57,x,155,146,125175622
58,x,156,138,125175639
59,x,156,136,125175656
60,x,155,131,125175673
61,x,155,129,125175691
62,x,154,127,125175742
63,x,153,130,125175844
64,x,152,132,125175863
65,x,149,134,125175882
66,x,146,139,125175901
67,x,143,143,125175920
68,x,137,151,125175940
69,x,134,156,125175962
70,x,130,162,125175982
71,x,124,169,125176002
72,x,120,175,125176022
73,x,116,180,125176043
74,x,110,188,125176064
75,x,103,196,125176085
76,x,97,202,125176106
77,x,91,210,125176127
78,x,84,216,125176148
79,x,77,222,125176169
80,x,72,225,125176191
81,x,70,227,125176192
82,x,66,230,125176214
83,x,62,233,125176236
84,x,58,235,125176259
85,x,56,236,125176282
86,x,54,236,125176304
87,x,56,236,125176352
